"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","B flat","O","O","O","O","O","O","O"
"2","B ","B flat","A ","A flat","G ","G ","G flat","F "
"3","E ","F ","G flat","B flat","G ","G ","A flat","O"
"4","A ","A flat","G ","G flat","F ","F ","E ","E flat"
"5","D ","E flat","E ","G sharp","E ","E ","O","O"
"6","G ","A flat","B flat","G ","B ","O","O","O"
"7","B flat","A flat","G ","E ","E flat","C ","O","O"
"8","G flat","F ","F ","F ","F ","F ","E ","O"
"9","C ","C ","O","O","O","O","O","O"
"10","G ","A flat","B flat","C ","B ","F sharp","G ","O"
"11","F sharp","D ","O","O","O","O","O","O"
"12","F ","G ","A flat","B flat","A ","E ","F ","O"
"13","E ","C ","O","O","O","O","O","O"
"14","G ","G ","F ","G ","B flat","A flat","G ","F "
"15","B ","B ","A ","B ","D ","C ","B flat","A flat"
"16","G ","G ","D ","B ","C ","C ","O","O"
"17","G ","G ","F ","O","O","O","O","O"
"18","C ","D ","E flat","F ","F sharp","B flat","O","O"
"19","D ","B ","G flat","D ","D ","B ","D ","O"
"20","A ","F sharp","G ","A ","B flat","C ","O","O"
"21","F ","D ","G ","F ","F ","O","O","O"
"22","G flat","B flat","F ","D ","A ","G ","O","O"
"23","F ","F ","D ","B flat","O","O","O","O"
"24","F ","A ","E ","D flat","A flat","F ","O","O"
"25","E ","E ","D flat","A flat","B flat","O","O","O"
"26","B ","B flat","A ","A flat","G ","G ","G flat","F "
"27","E ","F ","G flat","B flat","G ","G ","A flat","O"
"28","A ","A flat","G ","G flat","F ","F ","E ","E flat"
"29","D ","E flat","E ","G sharp","E ","E ","O","O"
"30","G ","A flat","B flat","G ","B ","O","O","O"
"31","B flat","A flat","G ","E ","E flat","C ","O","O"
"32","G flat","F ","F ","F ","F ","F ","E ","O"
"33","C ","O","O","O","O","O","O","O"
